SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
142,NIFTY 100,Hindustan Unilever Ltd.,HINDUNILVR,Household & Personal Products,INE030A01027
143,NIFTY 100,Hindustan Zinc Ltd.,HINDZINC,Metal - Non Ferrous,INE267A01025
144,NIFTY 100,Hyundai Motor India Ltd.,HYUNDAI,Automobiles - Passenger Cars,INE0V6F01027
145,NIFTY 100,ICICI Bank Ltd.,ICICIBANK,NIFTY PRIVATE BANK,INE090A01021
146,NIFTY 100,ITC Ltd.,ITC,Cigarettes/Tobacco,INE154A01025
147,NIFTY 100,Indian Hotels Co. Ltd.,INDHOTEL,"Hotel, Resort & Restaurants",INE053A01029
148,NIFTY 100,Indian Oil Corporation Ltd.,IOC,Refineries,INE242A01010
149,NIFTY 100,Indian Railway Finance Corporation Ltd.,IRFC,Finance Term Lending,INE053F01010
150,NIFTY 100,Infosys Ltd.,INFY,IT - Software,INE009A01021
151,NIFTY 100,InterGlobe Aviation Ltd.,INDIGO,Airlines,INE646L01027
152,NIFTY 100,JSW Steel Ltd.,JSWSTEEL,Steel & Iron Products,INE019A01038
153,NIFTY 100,Jindal Steel Ltd.,JINDALSTEL,Steel/Sponge Iron/Pig Iron,INE749A01030
154,NIFTY 100,Jio Financial Services Ltd.,JIOFIN,Finance - NBFC,INE758E01017
155,NIFTY 100,Kotak Mahindra Bank Ltd.,KOTAKBANK,NIFTY PRIVATE BANK,INE237A01036
156,NIFTY 100,LTIMindtree Ltd.,LTM,IT - Software,INE214T01019
157,NIFTY 100,Larsen & Toubro Ltd.,LT,Engineering - Construction,INE018A01030
158,NIFTY 100,Lodha Developers Ltd.,LODHA,Construction - Real Estate,INE670K01029
159,NIFTY 100,Mahindra & Mahindra Ltd.,M&M,Automobiles - Passenger Cars,INE101A01026
160,NIFTY 100,Maruti Suzuki India Ltd.,MARUTI,Automobiles - Passenger Cars,INE585B01010
161,NIFTY 100,Max Healthcare Institute Ltd.,MAXHEALTH,Hospital & Healthcare Services,INE027H01010
